Order_ID,Date,Product_Size,Region,Sales_Channel,Material,Quantity_Sold,Unit_Price,Total_Sales
ORD-1000,2023-08-31,Small,Europe,Distributor,Glass,5,189.51,947.55
ORD-1001,2023-11-03,Medium,Asia-Pacific,Online,Acrylic,12,351.46,4217.52
ORD-1002,2023-11-27,Large,North America,Retail,Glass,8,242.44,1939.52
ORD-1003,2023-04-06,Large,Middle East,Online,Acrylic,16,296.05,4736.8
ORD-1004,2023-01-05,Extra Large,Europe,Distributor,Acrylic,2,404.1,808.2
ORD-1005,2023-04-01,Large,Middle East,Distributor,Acrylic,4,252.05,1008.2
ORD-1006,2023-10-11,Medium,Africa,Retail,Glass,15,257.02,3855.3
ORD-1007,2023-12-15,Small,Asia-Pacific,Online,Acrylic,4,490.89,1963.56
ORD-1008,2023-06-25,Extra Large,North America,Distributor,Acrylic,13,225.95,2937.35
ORD-1009,2023-04-16,Medium,Europe,Distributor,Acrylic,10,277.81,2778.1
ORD-1010,2023-04-12,Large,Africa,Retail,Acrylic,14,189.12,2647.68
ORD-1011,2023-01-05,Small,North America,Online,Polycarbonate,13,481.13,6254.69
ORD-1012,2023-10-27,Medium,Asia-Pacific,Online,Polycarbonate,16,238.82,3821.12
ORD-1013,2023-08-02,Small,Europe,Retail,Glass,17,474.31,8063.27
ORD-1014,2023-06-23,Large,Europe,Distributor,Glass,14,231.69,3243.66
ORD-1015,2023-06-24,Extra Large,Europe,Retail,Polycarbonate,20,458.88,9177.6
ORD-1016,2023-12-14,Large,Asia-Pacific,Retail,Glass,11,250.67,2757.37
ORD-1017,2023-10-20,Small,Europe,Distributor,Glass,17,487.13,8281.21
ORD-1018,2023-08-08,Small,Asia-Pacific,Retail,Polycarbonate,17,429.27,7297.59
ORD-1019,2023-11-07,Medium,Europe,Retail,Glass,1,442.55,442.55
ORD-1020,2023-09-20,Medium,Africa,Retail,Polycarbonate,5,285.04,1425.2
ORD-1021,2023-08-19,Medium,Europe,Online,Acrylic,13,338.63,4402.19
ORD-1022,2023-11-19,Extra Large,North America,Retail,Glass,15,277.1,4156.5
ORD-1023,2023-09-22,Large,Asia-Pacific,Retail,Glass,2,408.04,816.08
ORD-1024,2023-05-31,Medium,North America,Distributor,Glass,7,205.26,1436.82
ORD-1025,2023-12-26,Extra Large,Africa,Retail,Polycarbonate,19,271.69,5162.11
ORD-1026,2023-08-03,Large,Asia-Pacific,Distributor,Glass,9,239.07,2151.63
ORD-1027,2023-03-02,Extra Large,Asia-Pacific,Online,Polycarbonate,14,453.87,6354.18
ORD-1028,2023-03-01,Extra Large,Middle East,Retail,Acrylic,9,286.24,2576.16
ORD-1029,2023-01-08,Small,Asia-Pacific,Retail,Polycarbonate,8,266.68,2133.44
ORD-1030,2023-03-08,Small,Asia-Pacific,Retail,Acrylic,3,443.85,1331.55
ORD-1031,2023-06-11,Small,Middle East,Retail,Polycarbonate,6,362.48,2174.88
ORD-1032,2023-03-08,Small,Africa,Retail,Polycarbonate,18,230.02,4140.36
ORD-1033,2023-04-12,Small,Middle East,Distributor,Polycarbonate,1,198.44,198.44
ORD-1034,2023-06-15,Medium,Europe,Online,Polycarbonate,16,418.84,6701.44
ORD-1035,2023-01-16,Large,North America,Distributor,Glass,5,413.16,2065.8
ORD-1036,2023-03-18,Small,Europe,Distributor,Glass,11,345.02,3795.22
ORD-1037,2023-12-23,Medium,North America,Online,Polycarbonate,4,356.97,1427.88
ORD-1038,2023-09-29,Large,Middle East,Distributor,Glass,1,160.12,160.12
ORD-1039,2023-07-09,Medium,Asia-Pacific,Distributor,Glass,12,492.05,5904.6
ORD-1040,2023-10-09,Small,Europe,Online,Glass,2,324.27,648.54
ORD-1041,2023-05-18,Medium,Asia-Pacific,Distributor,Glass,8,289.65,2317.2
ORD-1042,2023-09-13,Large,Middle East,Online,Acrylic,16,299.77,4796.32
ORD-1043,2023-05-13,Extra Large,North America,Online,Acrylic,2,330.18,660.36
ORD-1044,2023-01-05,Large,Middle East,Distributor,Polycarbonate,8,443.0,3544.0
ORD-1045,2023-01-13,Medium,North America,Distributor,Glass,8,435.83,3486.64
ORD-1046,2023-03-25,Extra Large,Africa,Online,Acrylic,18,310.87,5595.66
ORD-1047,2023-12-17,Small,Middle East,Retail,Glass,17,233.84,3975.28
ORD-1048,2023-07-13,Medium,Europe,Retail,Acrylic,13,431.63,5611.19
ORD-1049,2023-03-27,Extra Large,North America,Distributor,Glass,10,214.39,2143.9
ORD-1050,2023-10-04,Small,North America,Distributor,Glass,8,423.38,3387.04
ORD-1051,2023-06-24,Medium,North America,Distributor,Acrylic,19,208.82,3967.58
ORD-1052,2023-07-30,Medium,Middle East,Online,Glass,17,156.11,2653.87
ORD-1053,2023-07-28,Small,Africa,Retail,Glass,4,229.41,917.64
ORD-1054,2023-08-08,Large,North America,Retail,Glass,20,496.6,9932.0
ORD-1055,2023-10-14,Large,North America,Online,Glass,20,359.31,7186.2
ORD-1056,2023-02-09,Large,Europe,Retail,Glass,5,158.0,790.0
ORD-1057,2023-08-18,Medium,North America,Retail,Acrylic,13,486.69,6326.97
ORD-1058,2023-04-16,Large,Middle East,Distributor,Polycarbonate,6,158.76,952.56
ORD-1059,2023-02-20,Medium,Middle East,Distributor,Polycarbonate,1,247.25,247.25
ORD-1060,2023-01-12,Medium,Middle East,Retail,Acrylic,2,288.75,577.5
ORD-1061,2023-01-24,Medium,North America,Online,Glass,12,352.3,4227.6
ORD-1062,2023-07-03,Small,Europe,Retail,Polycarbonate,3,481.76,1445.28
ORD-1063,2023-11-14,Medium,Europe,Retail,Polycarbonate,9,400.42,3603.78
ORD-1064,2023-12-13,Medium,Asia-Pacific,Retail,Polycarbonate,8,332.48,2659.84
ORD-1065,2023-11-11,Medium,Africa,Online,Polycarbonate,15,480.4,7206.0
ORD-1066,2023-02-04,Small,Europe,Retail,Polycarbonate,9,235.18,2116.62
ORD-1067,2023-01-31,Small,Africa,Retail,Acrylic,9,180.03,1620.27
ORD-1068,2023-03-29,Large,Africa,Distributor,Acrylic,10,252.36,2523.6
ORD-1069,2023-12-23,Small,Europe,Online,Glass,3,252.14,756.42
ORD-1070,2023-10-09,Large,Asia-Pacific,Retail,Acrylic,4,467.53,1870.12
ORD-1071,2023-03-19,Extra Large,Europe,Distributor,Glass,14,316.77,4434.78
ORD-1072,2023-07-24,Small,North America,Online,Acrylic,14,416.16,5826.24
ORD-1073,2023-10-28,Extra Large,Africa,Online,Glass,5,210.33,1051.65
ORD-1074,2023-12-19,Small,North America,Distributor,Acrylic,18,165.57,2980.26
