Order_ID,Date,Product_Size,Region,Sales_Channel,Material,Quantity_Sold,Unit_Price,Total_Sales
ORD-1000,2023-09-25,Extra Large,Europe,Online,Glass,3,484.78,1454.34
ORD-1001,2023-02-17,Small,Middle East,Retail,Glass,16,337.11,5393.76
ORD-1002,2023-12-12,Medium,Africa,Retail,Acrylic,18,469.73,8455.14
ORD-1003,2023-12-17,Extra Large,Middle East,Distributor,Acrylic,6,417.26,2503.56
ORD-1004,2023-10-26,Small,Africa,Retail,Glass,6,340.74,2044.44
ORD-1005,2023-10-09,Large,Middle East,Retail,Acrylic,1,228.56,228.56
ORD-1006,2023-05-13,Extra Large,Africa,Distributor,Acrylic,15,180.28,2704.2
ORD-1007,2023-03-08,Extra Large,North America,Online,Polycarbonate,11,412.95,4542.45
ORD-1008,2023-11-19,Extra Large,North America,Retail,Acrylic,15,369.22,5538.3
ORD-1009,2023-06-01,Large,North America,Distributor,Acrylic,3,386.96,1160.88
ORD-1010,2023-07-16,Large,Africa,Retail,Glass,9,492.19,4429.71
ORD-1011,2023-09-28,Medium,Africa,Distributor,Glass,11,189.58,2085.38
ORD-1012,2023-07-21,Large,Africa,Distributor,Polycarbonate,19,299.92,5698.48
ORD-1013,2023-06-08,Small,North America,Online,Glass,11,266.06,2926.66
ORD-1014,2023-01-21,Small,Asia-Pacific,Distributor,Glass,11,319.7,3516.7
ORD-1015,2023-03-12,Large,Asia-Pacific,Retail,Polycarbonate,2,417.16,834.32
ORD-1016,2023-08-09,Large,North America,Distributor,Glass,9,489.66,4406.94
ORD-1017,2023-03-05,Medium,Middle East,Retail,Acrylic,15,270.1,4051.5
ORD-1018,2023-09-25,Small,North America,Online,Polycarbonate,5,459.44,2297.2
ORD-1019,2023-05-12,Large,Europe,Online,Glass,10,464.37,4643.7
ORD-1020,2023-03-18,Extra Large,Europe,Distributor,Polycarbonate,10,248.13,2481.3
ORD-1021,2023-01-11,Medium,Middle East,Distributor,Polycarbonate,9,274.52,2470.68
ORD-1022,2023-09-05,Small,Middle East,Online,Polycarbonate,18,397.57,7156.26
ORD-1023,2023-05-10,Large,Europe,Online,Acrylic,7,307.89,2155.23
ORD-1024,2023-03-22,Medium,Middle East,Retail,Polycarbonate,11,474.13,5215.43
ORD-1025,2023-05-12,Extra Large,Europe,Online,Glass,2,297.09,594.18
ORD-1026,2023-08-30,Large,Africa,Online,Acrylic,2,231.5,463.0
ORD-1027,2023-02-01,Extra Large,Africa,Retail,Acrylic,9,334.22,3007.98
ORD-1028,2023-09-01,Medium,Africa,Online,Polycarbonate,4,227.78,911.12
ORD-1029,2023-07-22,Small,North America,Online,Acrylic,16,386.74,6187.84
ORD-1030,2023-09-28,Extra Large,Africa,Distributor,Acrylic,8,237.37,1898.96
ORD-1031,2023-03-06,Small,North America,Retail,Acrylic,19,170.34,3236.46
ORD-1032,2023-08-24,Large,Asia-Pacific,Distributor,Acrylic,14,428.5,5999.0
ORD-1033,2023-10-15,Large,Africa,Distributor,Polycarbonate,9,373.02,3357.18
ORD-1034,2023-08-18,Small,Middle East,Retail,Polycarbonate,8,287.54,2300.32
ORD-1035,2023-08-08,Medium,Asia-Pacific,Distributor,Glass,7,191.7,1341.9
ORD-1036,2023-10-02,Large,Africa,Distributor,Acrylic,16,253.4,4054.4
ORD-1037,2023-10-26,Extra Large,Europe,Online,Acrylic,8,272.02,2176.16
ORD-1038,2023-02-21,Small,North America,Distributor,Glass,5,188.82,944.1
ORD-1039,2023-10-05,Large,Africa,Distributor,Acrylic,14,293.82,4113.48
ORD-1040,2023-03-30,Medium,North America,Retail,Polycarbonate,9,376.03,3384.27
ORD-1041,2023-06-17,Large,North America,Online,Acrylic,11,289.05,3179.55
ORD-1042,2023-05-04,Large,North America,Retail,Polycarbonate,20,344.75,6895.0
ORD-1043,2023-05-08,Medium,Middle East,Distributor,Acrylic,9,344.57,3101.13
ORD-1044,2023-05-23,Extra Large,Europe,Distributor,Polycarbonate,14,302.96,4241.44
ORD-1045,2023-10-31,Large,Asia-Pacific,Distributor,Acrylic,17,419.7,7134.9
ORD-1046,2023-02-08,Medium,Europe,Retail,Glass,11,260.86,2869.46
ORD-1047,2023-12-08,Small,Middle East,Retail,Acrylic,15,280.37,4205.55
ORD-1048,2023-02-19,Small,Middle East,Retail,Glass,11,246.68,2713.48
ORD-1049,2023-07-21,Medium,Africa,Online,Acrylic,13,384.48,4998.24
ORD-1050,2023-03-25,Small,Middle East,Distributor,Glass,8,317.14,2537.12
ORD-1051,2023-04-22,Small,Asia-Pacific,Distributor,Acrylic,16,155.04,2480.64
ORD-1052,2023-11-07,Medium,Africa,Online,Glass,12,453.0,5436.0
ORD-1053,2023-08-26,Small,Europe,Retail,Polycarbonate,9,476.13,4285.17
ORD-1054,2023-03-05,Extra Large,Africa,Online,Polycarbonate,9,379.0,3411.0
ORD-1055,2023-05-07,Large,Asia-Pacific,Online,Polycarbonate,17,401.53,6826.01
ORD-1056,2023-08-19,Large,Africa,Retail,Glass,1,168.93,168.93
ORD-1057,2023-02-24,Extra Large,Middle East,Online,Glass,15,241.12,3616.8
ORD-1058,2023-12-19,Small,Middle East,Distributor,Polycarbonate,3,200.33,600.99
ORD-1059,2023-03-21,Medium,Middle East,Retail,Glass,14,170.2,2382.8
ORD-1060,2023-12-10,Small,Africa,Online,Acrylic,7,231.34,1619.38
ORD-1061,2023-05-02,Medium,Asia-Pacific,Retail,Acrylic,9,424.66,3821.94
